description;wnid
misstep;n00076563
spill;n00076884
tumble;n00076884
fall;n00076884
pratfall;n00077169
wipeout;n00077249
acquisition;n00077419
obtainment;n00077856
obtention;n00077856
catching;n00077981
contracting;n00077981
incurring;n00078217
moneymaking;n00078393
annexation;n00078536
pork-barreling;n00078821
purchase;n00079018
redemption;n00079212
repurchase;n00079212
buyback;n00079212
trading;n00079398
bond trading;n00079603
bond-trading activity;n00079603
program trading;n00079752
short sale;n00079908
short selling;n00079908
short covering;n00080096
insider trading;n00080242
naked option;n00080474
covered option;n00080619
call option;n00080743
call;n00080743
put option;n00080968
put;n00080968
straddle;n00081174
incentive option;n00081395
incentive stock option;n00081395
buying;n00081572
purchasing;n00081572
shopping;n00081836
marketing;n00082081
mail-order buying;n00082223
catalog buying;n00082223
viatication;n00082347
viaticus;n00082347
acceptance;n00082525
succession;n00082754
taking over;n00082754
assumption;n00082870
laying claim;n00082870
assumption;n00083260
position;n00083448
inheritance;n00083585
heritage;n00083585
procurement;n00083729
procurance;n00083729
procural;n00083729
appropriation;n00083975
borrowing;n00084371
adoption;n00084371
naturalization;n00084642
naturalisation;n00084642
misappropriation;n00084895
preemption;n00085041
pre-emption;n00085041
seizure;n00085219
usurpation;n00085432
confiscation;n00085678
arrogation;n00085678
distress;n00085829
distraint;n00085829
expropriation;n00086140
impoundment;n00086297
impounding;n00086297
internment;n00086297
poundage;n00086297
drug bust;n00086547
drugs bust;n00086547
impress;n00086654
impressment;n00086654
occupation;n00086809
occupancy;n00086809
moving in;n00086809
preoccupancy;n00087073
preoccupation;n00087073
sequestration;n00087218
requisition;n00087218
grant;n00087423
subsidization;n00087423
subsidisation;n00087423
award;n00087663
awarding;n00087663
addiction;n00087849
block grant;n00088154
grant-in-aid;n00088367
capture;n00088481
gaining control;n00088481
seizure;n00088481
apprehension;n00088725
arrest;n00088725
catch;n00088725
collar;n00088725
pinch;n00088725
taking into custody;n00088725
conquest;n00089027
conquering;n00089027
subjection;n00089027
subjugation;n00089027
enslavement;n00089234
restitution;n00089351
return;n00089351
restoration;n00089351
regaining;n00089351
clawback;n00089657
repossession;n00089891
foreclosure;n00090076
reception;n00090253
receipt;n00090253
appointment;n00090393
comb-out;n00090610
giving;n00090779
abandonment;n00091013
discard;n00091234
throwing away;n00091234
staging;n00091404
discard;n00091503
mine disposal;n00091670
minesweeping;n00091779
sewage disposal;n00091893
bait and switch;n00091977
private treaty;n00092212
auction;n00092366
auction sale;n00092366
vendue;n00092366
bootlegging;n00092663
bootlegging;n00092847
capitalization;n00093006
capitalisation;n00093006
overcapitalization;n00093127
overcapitalisation;n00093127
reclamation;n00093354
rescue;n00093483
deliverance;n00093483
delivery;n00093483
saving;n00093483
lifesaving;n00093874
redemption;n00094001
salvation;n00094001
absolution;n00094240
remission;n00094240
remittal;n00094240
remission of sin;n00094240
indulgence;n00094500
conversion;n00094788
rebirth;n00094788
spiritual rebirth;n00094788
proselytism;n00094954
expiation;n00095121
atonement;n00095121
propitiation;n00095121
reparation;n00095329
amends;n00095329
liberation;n00095502
release;n00095502
freeing;n00095502
jail delivery;n00095873
reclamation;n00095971
reformation;n00095971
salvage;n00096211
salvage;n00096343
salvation;n00096513
search and rescue mission;n00096720
ransom;n00096851
recapture;n00096969
