description;wnid
legislature;n08163273
legislative assembly;n08163273
legislative body;n08163273
general assembly;n08163273
law-makers;n08163273
legislative council;n08163702
assembly;n08163792
areopagus;n08164110
states general;n08164261
estates general;n08164464
administration;n08164585
governance;n08164585
governing body;n08164585
establishment;n08164585
brass;n08164585
organization;n08164585
organisation;n08164585
top brass;n08165353
executive;n08165455
bush administration;n08165650
clinton administration;n08165760
bush administration;n08165866
reagan administration;n08165979
carter administration;n08166083
judiciary;n08166187
bench;n08166187
judiciary;n08166318
judicature;n08166318
judicatory;n08166318
judicial system;n08166318
nation;n08166552
land;n08166552
country;n08166552
commonwealth country;n08166931
developing country;n08167046
dominion;n08167249
estate of the realm;n08167365
estate;n08167365
the three estates;n08167365
first estate;n08167779
lords spiritual;n08167779
second estate;n08167953
lords temporal;n08167953
third estate;n08168117
commons;n08168117
fourth estate;n08168241
foreign country;n08168367
tribe;n08168531
federation of tribes;n08168531
free world;n08168737
third world;n08168831
state;n08168978
nation;n08168978
country;n08168978
land;n08168978
commonwealth;n08168978
res publica;n08168978
body politic;n08168978
reich;n08169573
holy roman empire;n08169677
hohenzollern empire;n08169919
second reich;n08169919
weimar republic;n08170070
third reich;n08170255
nazi germany;n08170255
rogue state;n08170374
renegade state;n08170374
rogue nation;n08170374
suzerain;n08170535
member;n08170686
allies;n08170978
bloc;n08171094
axis;n08171094
allies;n08171210
central powers;n08171415
allies;n08171592
axis;n08171792
entente;n08171992
entente cordiale;n08171992
arab league;n08172103
europe;n08172695
asia;n08172877
north america;n08173030
central america;n08173165
south america;n08173289
european union;n08173515
eu;n08173515
european community;n08173515
ec;n08173515
european economic community;n08173515
eec;n08173515
common market;n08173515
europe;n08173515
supreme headquarters allied powers europe;n08174167
shape;n08174167
north atlantic treaty organization;n08174398
nato;n08174398
allied command atlantic;n08174995
aclant;n08174995
supreme allied commander atlantic;n08175233
saclant;n08175233
allied command europe;n08175498
ace;n08175498
supreme allied commander europe;n08175700
saceur;n08175700
organization for the prohibition of chemical weapons;n08175875
opcw;n08175875
organization of american states;n08176077
oas;n08176077
pan american union;n08176901
organization of petroleum-exporting countries;n08177030
opec;n08177030
sea power;n08177487
world power;n08177592
major power;n08177592
great power;n08177592
power;n08177592
superpower;n08177592
hegemon;n08177781
church-state;n08177863
city state;n08177958
city-state;n08177958
welfare state;n08178085
puppet government;n08178321
puppet state;n08178321
pupet regime;n08178321
state;n08178547
population;n08178741
overpopulation;n08178935
overspill;n08179033
poor people;n08179205
poor;n08179205
rich people;n08179455
rich;n08179455
populace;n08179689
public;n08179689
world;n08179689
population;n08179879
home front;n08180067
multitude;n08180190
masses;n08180190
mass;n08180190
hoi polloi;n08180190
people;n08180190
the great unwashed;n08180190
admass;n08180484
labor;n08180639
labour;n08180639
working class;n08180639
proletariat;n08180639
labor force;n08180944
labor pool;n08180944
lumpenproletariat;n08181075
organized labor;n08181267
laurel and hardy;n08181375
lower class;n08181540
underclass;n08181540
middle class;n08181658
bourgeoisie;n08181658
booboisie;n08181820
commonalty;n08181930
commonality;n08181930
commons;n08181930
petit bourgeois;n08182105
petite bourgeoisie;n08182105
petty bourgeoisie;n08182105
peasantry;n08182283
crowd;n08182379
multitude;n08182716
throng;n08182716
concourse;n08182716
hive;n08182892
horde;n08182962
host;n08182962
legion;n08182962
ruck;n08183046
herd;n08183046
army;n08183290
crush;n08183398
jam;n08183398
press;n08183398
traffic jam;n08183541
snarl-up;n08183541
gridlock;n08183698
host;n08183802
legion;n08183802
roman legion;n08183920
sabaoth;n08184052
drove;n08184217
horde;n08184217
swarm;n08184217
drove;n08184335
huddle;n08184439
mob;n08184600
rabble;n08184600
rout;n08184600
lynch mob;n08184730
company;n08184861
attendance;n08185063
limited company;n08185211
ltd.;n08185211
ld.;n08185211
holding company;n08185369
bank holding company;n08185501
multibank holding company;n08185643
utility;n08185758
public utility;n08185758
public utility company;n08185758
public-service corporation;n08185758
service;n08186047
telephone company;n08186221
telephone service;n08186221
phone company;n08186221
phone service;n08186221
telco;n08186221
power company;n08186393
power service;n08186393
electric company;n08186393
light company;n08186393
water company;n08186546
waterworks;n08186546
gas company;n08186655
gas service;n08186655
bus company;n08186761
bus service;n08186761
livery company;n08186898
company;n08187033
troupe;n08187033
opera company;n08187370
theater company;n08187460
stock company;n08187569
repertory company;n08187569
ballet company;n08187707
chorus;n08187837
chorus;n08187988
greek chorus;n08187988
ensemble;n08188235
chorus;n08188449
chorus line;n08188449
choir;n08188638
choir;n08188814
consort;n08188814
husking bee;n08188967
cornhusking;n08188967
corps de ballet;n08189089
ensemble;n08189089
circus;n08189211
minstrel show;n08189371
minstrelsy;n08189581
unit;n08189659
social unit;n08189659
command;n08190292
enemy;n08190482
task force;n08190609
army unit;n08190754
army;n08191230
regular army;n08191230
ground forces;n08191230
naval unit;n08191532
navy;n08191701
naval forces;n08191701
united states navy;n08191987
us navy;n08191987
usn;n08191987
navy;n08191987
coastguard;n08192361
united states coast guard;n08192557
u. s. coast guard;n08192557
us coast guard;n08192557
marines;n08192817
united states marine corps;n08192970
united states marines;n08192970
marine corps;n08192970
us marine corps;n08192970
usmc;n08192970
naval air warfare center weapons division;n08193212
nawcwpns;n08193212
naval special warfare;n08193448
nsw;n08193448
naval surface warfare center;n08193645
nswc;n08193645
naval underwater warfare center;n08193854
nuwc;n08193854
united states naval academy;n08194074
us naval academy;n08194074
office of naval intelligence;n08194266
oni;n08194266
marine corps intelligence activity;n08194546
mcia;n08194546
air corps;n08194815
united states air force academy;n08194927
us air force academy;n08194927
royal air force;n08195132
raf;n08195132
luftwaffe;n08195229
german luftwaffe;n08195229
league of nations;n08195323
peace corps;n08195636
air unit;n08195797
air force;n08196024
airforce;n08196024
united states air force;n08196230
u. s. air force;n08196230
us air force;n08196230
air force;n08196230
usaf;n08196230
air combat command;n08196622
acc;n08196622
air force space command;n08196892
afspc;n08196892
air national guard;n08197149
ang;n08197149
air force intelligence surveillance and reconnaissance;n08197386
air force isr;n08197386
afisr;n08197386
armor;n08197742
armour;n08197742
guerrilla force;n08197895
guerilla force;n08197895
military service;n08198137
armed service;n08198137
service;n08198137
military unit;n08198398
military force;n08198398
military group;n08198398
force;n08198398
military;n08199025
armed forces;n08199025
armed services;n08199025
military machine;n08199025
war machine;n08199025
military reserve;n08206460
reserve;n08206460
mujahidin;n08206663
mujahedin;n08206663
mujahedeen;n08206663
mujahadeen;n08206663
mujahadin;n08206663
mujahideen;n08206663
mujahadein;n08206663
mujahedeen khalq;n08207001
pentagon;n08207095
paramilitary;n08207209
paramilitary force;n08207209
paramilitary unit;n08207209
paramilitary organization;n08207209
paramilitary organisation;n08207209
fedayeen;n08207540
fedayeen saddam;n08207672
saddam's martyrs;n08207672
force;n08207863
force;n08208016
personnel;n08208016
task force;n08208444
team;n08208560
squad;n08208560
hit squad;n08209076
death squad;n08209187
sparrow unit;n08209386
bench;n08209519
police;n08209687
police force;n08209687
constabulary;n08209687
law;n08209687
europol;n08210042
european law enforcement organisation;n08210042
gendarmerie;n08210254
gendarmery;n08210254
mutawa'een;n08210411
mutawa;n08210411
royal canadian mounted police;n08210670
rcmp;n08210670
mounties;n08210670
scotland yard;n08210835
new scotland yard;n08210835
security force;n08210982
private security force;n08210982
vice squad;n08211169
military police;n08211290
mp;n08211290
shore patrol;n08211475
secret police;n08211584
gestapo;n08211760
schutzstaffel;n08211924
ss;n08211924
sa;n08212146
sturmabteilung;n08212146
storm troops;n08212146
work force;n08212347
workforce;n08212347
manpower;n08212347
hands;n08212347
men;n08212347
corps;n08212527
army corps;n08212527
women's army corps;n08212740
wac;n08212740
reserve officers training corps;n08212920
rotc;n08212920
corps;n08213079
division;n08213205
special forces;n08213424
u. s. army special forces;n08213424
united states army special forces;n08213424
battle group;n08213671
regiment;n08213817
brigade;n08213978
battalion;n08214083
company;n08214272
platoon;n08214470
platoon;n08214698
section;n08214832
den;n08214966
platoon;n08215044
detachment;n08215248
vanguard;n08215495
van;n08215495
guard;n08215603
bodyguard;n08215801
yeomanry;n08215989
patrol;n08216176
picket;n08216295
press gang;n08216408
provost guard;n08216535
rearguard;n08216647
section;n08216795
section;n08216900
brass section;n08217135
brass;n08217135
string section;n08217302
strings;n08217302
violin section;n08217450
percussion section;n08217557
percussion;n08217557
rhythm section;n08217557
trumpet section;n08217738
reed section;n08217865
clarinet section;n08218004
squad;n08218122
complement;n08218212
full complement;n08218212
shift;n08218393
day shift;n08218592
day watch;n08218592
evening shift;n08218713
night shift;n08218832
graveyard shift;n08218832
relay;n08218965
ship's company;n08219059
company;n08219059
division;n08219226
naval division;n08219226
division;n08219330
air division;n08219330
wing;n08219493
air group;n08219628
squadron;n08219768
escadrille;n08219923
squadron;n08220089
squadron;n08220228
escadrille;n08220367
flight;n08220440
flight;n08220534
flight;n08220620
division;n08220714
division;n08220891
division;n08221348
form division;n08221747
audience;n08221897
gallery;n08222203
audience;n08222293
readership;n08222571
viewing audience;n08222750
tv audience;n08222750
viewers;n08222750
grandstand;n08222871
house;n08222966
claque;n08223137
following;n08223263
followers;n08223263
faithful;n08223475
fandom;n08223581
parish;n08223688
community;n08223802
community;n08224274
convent;n08224413
house;n08224580
ummah;n08224684
umma;n08224684
muslim ummah;n08224684
islamic ummah;n08224684
islam nation;n08224684
speech community;n08224985
neighborhood;n08225090
neighbourhood;n08225090
hood;n08225334
street;n08225426
municipality;n08225581
municipal government;n08225736
commission plan;n08225853
state government;n08226018
totalitarian state;n08226127
totalitation regime;n08226127
city;n08226335
metropolis;n08226335
town;n08226514
townspeople;n08226514
townsfolk;n08226514
village;n08226699
small town;n08226699
settlement;n08226699
moshav;n08226838
hamlet;n08226978
crossroads;n08226978
cooperative;n08227088
club;n08227214
social club;n08227214
society;n08227214
guild;n08227214
gild;n08227214
lodge;n08227214
order;n08227214
family;n08227916
fellowship;n08227916
koinonia;n08228229
athenaeum;n08228405
atheneum;n08228405
bookclub;n08228538
chapter;n08228665
chapter;n08228838
american legion;n08228980
veterans of foreign wars;n08229134
vfw;n08229134
chess club;n08229275
country club;n08229362
fraternity;n08229467
frat;n08229467
glee club;n08229605
golf club;n08229694
hunt;n08229779
hunt club;n08229779
investors club;n08229887
jockey club;n08230009
racket club;n08230110
rowing club;n08230219
slate club;n08230294
sorority;n08230477
tennis club;n08230590
turnverein;n08230679
yacht club;n08230785
boat club;n08230785
yakuza;n08230906
yoke;n08231065
league;n08231184
conference;n08231184
major league;n08231499
big league;n08231499
majors;n08231499
minor league;n08231678
minors;n08231678
bush league;n08231678
baseball league;n08231874
little league;n08231999
little-league team;n08232160
basketball league;n08232299
bowling league;n08232410
football league;n08232496
hockey league;n08232603
ivy league;n08232706
union;n08233056
labor union;n08233056
trade union;n08233056
trades union;n08233056
brotherhood;n08233056
industrial union;n08233426
vertical union;n08233426
teamsters union;n08233627
united mine workers of america;n08233762
united mine workers;n08233762
american federation of labor;n08233913
afl;n08233913
american federation of labor and congress of industrial organizations;n08234103
afl-cio;n08234103
congress of industrial organizations;n08234298
cio;n08234298
craft union;n08234493
credit union;n08234628
company union;n08234792
open shop;n08234935
closed shop;n08235076
union shop;n08235173
secret society;n08235343
freemasonry;n08235513
masonry;n08235513
rashtriya swayamsevak sangh;n08235623
national volunteers association;n08235623
service club;n08235828
lions club;n08236027
international association of lions clubs;n08236027
rotary club;n08236251
rotary international;n08236251
consortium;n08236438
pool;n08236438
syndicate;n08236438
trust;n08236621
corporate trust;n08236621
combine;n08236621
cartel;n08236621
drug cartel;n08236963
medellin cartel;n08237202
cali cartel;n08237400
oil cartel;n08237699
cast;n08237863
cast of characters;n08237863
dramatis personae;n08237863
ensemble;n08238048
supporting players;n08238048
constituency;n08238156
electoral college;n08238313
class;n08238463
form;n08238463
grade;n08238463
course;n08238463
class;n08238660
year;n08238660
graduating class;n08238909
master class;n08239024
section;n08239152
discussion section;n08239152
senior class;n08239383
junior class;n08239488
sophomore class;n08239590
freshman class;n08239706
class;n08239808
division;n08239808
revolving door;n08240022
set;n08240169
circle;n08240169
band;n08240169
lot;n08240169
car pool;n08240484
clique;n08240633
coterie;n08240633
ingroup;n08240633
inner circle;n08240633
pack;n08240633
camp;n08240633
bloomsbury group;n08240966
bohemia;n08241309
kitchen cabinet;n08241512
brain trust;n08241512
loop;n08241654
cabal;n08241798
faction;n08241798
junto;n08241798
camarilla;n08241798
military junta;n08241964
junta;n08241964
cadre;n08242100
core;n08242223
nucleus;n08242223
core group;n08242223
portfolio;n08242428
professional association;n08242675
gang;n08242799
crew;n08242799
work party;n08242799
detail;n08243081
chain gang;n08243248
ground crew;n08243340
ground-service crew;n08243340
road gang;n08243492
section gang;n08243570
stage crew;n08243695
fabian society;n08243851
gang;n08244062
pack;n08244062
ring;n08244062
mob;n08244062
nest;n08244346
sleeper nest;n08244532
youth gang;n08244747
demimonde;n08244895
underworld;n08245059
organized crime;n08245172
gangland;n08245172
gangdom;n08245172
mafia;n08245425
maffia;n08245425
mafia;n08245549
maffia;n08245549
sicilian mafia;n08245549
mafia;n08245802
maffia;n08245802
cosa nostra;n08245802
black hand;n08246036
camorra;n08246185
syndicate;n08246302
crime syndicate;n08246302
mob;n08246302
family;n08246302
yeomanry;n08246502
musical organization;n08246613
musical organisation;n08246613
musical group;n08246613
duet;n08247021
duette;n08247021
duo;n08247021
trio;n08247152
quartet;n08247251
quartette;n08247251
barbershop quartet;n08247400
string quartet;n08247561
string quartette;n08247561
quintet;n08247703
quintette;n08247703
sextet;n08247816
sextette;n08247816
sestet;n08247816
septet;n08247935
septette;n08247935
octet;n08248047
octette;n08248047
orchestra;n08248157
chamber orchestra;n08248411
gamelan;n08248521
string orchestra;n08248747
symphony orchestra;n08248856
symphony;n08248856
philharmonic;n08248856
band;n08249038
marching band;n08249207
brass band;n08249336
concert band;n08249459
military band;n08249459
jug band;n08249608
pop group;n08249752
indie;n08249854
dance band;n08249960
band;n08249960
dance orchestra;n08249960
big band;n08250168
jazz band;n08250302
jazz group;n08250302
combo;n08250302
mariachi;n08250409
rock group;n08250501
rock band;n08250501
skiffle group;n08250635
steel band;n08250750
horde;n08250889
golden horde;n08250978
cohort;n08251104
cohort;n08251213
conspiracy;n08251303
confederacy;n08251303
four hundred;n08251493
horsy set;n08251605
horsey set;n08251605
jet set;n08251756
faction;n08251877
sect;n08251877
splinter group;n08252083
social gathering;n08252211
social affair;n08252211
function;n08252467
party;n08252602
shindig;n08253045
shindy;n08253045
dance;n08253141
ball;n08253268
masquerade;n08253450
masquerade party;n08253450
masque;n08253450
mask;n08253450
banquet;n08253640
feast;n08253640
dinner;n08253815
dinner party;n08253815
gaudy;n08254055
beanfeast;n08254195
reception;n08254331
at home;n08254540
levee;n08254627
tea;n08254741
wedding reception;n08254876
open house;n08254993
housewarming;n08255109
soiree;n08255231
musical soiree;n08255373
soiree musicale;n08255373
garden party;n08255508
lawn party;n08255508
fete champetre;n08255508
bachelor party;n08255660
shower;n08255795
stag party;n08256005
smoker;n08256005
hen party;n08256151
slumber party;n08256229
sociable;n08256369
social;n08256369
mixer;n08256369
supper;n08256567
wedding;n08256735
wedding party;n08256735
party;n08256968
political party;n08256968
american labor party;n08257779
american party;n08257971
know-nothing party;n08257971
anti-masonic party;n08258184
black panthers;n08258358
communist party;n08258523
conservative party;n08258744
constitutional union party;n08258974
democratic party;n08259156
democratic-republican party;n08259318
farmer-labor party;n08259611
federalist party;n08259753
american federalist party;n08259753
federal party;n08259753
free soil party;n08260002
gironde;n08260220
green party;n08260386
greenback party;n08260498
kuomintang;n08260691
guomindang;n08260691
labor party;n08260961
labour party;n08260961
australian labor party;n08261162
british labour party;n08261320
labour party;n08261320
labour;n08261320
labor;n08261320
liberal democrat party;n08261589
liberal party;n08261810
liberty party;n08261958
militant tendency;n08262154
national socialist german workers' party;n08262309
nazi party;n08262309
people's party;n08262494
populist party;n08262494
progressive party;n08262695
bull moose party;n08262695
prohibition party;n08262937
republican party;n08263113
gop;n08263113
social democratic party;n08263303
socialist labor party;n08263560
socialist party;n08263733
states' rights democratic party;n08263870
dixiecrats;n08263870
war party;n08264110
whig party;n08264203
third party;n08264441
machine;n08264583
political machine;n08264583
machine;n08264759
party;n08264897
company;n08264897
fatigue party;n08265252
landing party;n08265347
party to the action;n08265469
party to the transaction;n08265469
rescue party;n08265614
search party;n08265692
stretcher party;n08265790
war party;n08265912
professional organization;n08266070
professional organisation;n08266070
table;n08266235
tabular array;n08266235
actuarial table;n08266542
statistical table;n08266542
mortality table;n08266669
calendar;n08266849
perpetual calendar;n08267008
file allocation table;n08267197
periodic table;n08267446
matrix;n08267640
dot matrix;n08267956
square matrix;n08268085
diagonal;n08268321
main diagonal;n08268636
principal diagonal;n08268636
secondary diagonal;n08268807
diagonal matrix;n08268962
scalar matrix;n08269114
identity matrix;n08269257
unit matrix;n08269257
determinant;n08269396
latin square;n08269506
magic square;n08269707
nonsingular matrix;n08269939
real matrix;n08270067
singular matrix;n08270169
transpose;n08270290
diagonal;n08270417
oort cloud;n08270662
galaxy;n08270938
galaxy;n08271042
extragalactic nebula;n08271042
spiral galaxy;n08271457
spiral nebula;n08271457
andromeda galaxy;n08271656
legion;n08271801
foreign legion;n08271941
french foreign legion;n08272086
legion;n08272248
echelon;n08272352
phalanx;n08272460
phalanx;n08272564
score;n08272652
threescore;n08272774
synset;n08272860
combination;n08272961
crew;n08273167
aircrew;n08273406
air crew;n08273406
bomber crew;n08273531
bomber aircrew;n08273531
merchant marine;n08273645
crew;n08273736
crowd;n08273843
crew;n08273843
gang;n08273843
bunch;n08273843
shock troops;n08274004
swat team;n08274126
swat squad;n08274126
special weapons and tactics team;n08274126
special weapons and tactics squad;n08274126
troop;n08274354
troop;n08274443
troop;n08274565
flock;n08274565
troop;n08274718
scout troop;n08274718
scout group;n08274718
outfit;n08274826
academia;n08274923
academe;n08274923
grub street;n08275081
school;n08275185
ashcan school;n08275497
eight;n08275497
deconstructivism;n08275704
historical school;n08275843
pointillism;n08276053
educational institution;n08276342
preschool;n08276539
school;n08276720
school;n08277393
junior school;n08277612
infant school;n08277709
academy;n08277805
yeshiva;n08278032
yeshivah;n08278032
college;n08278169
college;n08278324
correspondence school;n08278589
crammer;n08278707
dancing school;n08278822
direct-grant school;n08278924
driving school;n08279184
academy;n08279298
police academy;n08279424
military academy;n08279524
naval academy;n08279665
air force academy;n08279800
plato's academy;n08279943
academy;n08280124
honorary society;n08280124
academy of motion picture arts and sciences;n08280462
academy of television arts and sciences;n08280649
french academy;n08280813
national academy of sciences;n08281029
royal academy;n08281205
royal academy of arts;n08281205
royal society;n08281409
royal society of london for improving natural knowledge;n08281409
business college;n08281682
business school;n08281812
dental school;n08281963
school of dentistry;n08281963
finishing school;n08282109
flying school;n08282257
junior college;n08282364
community college;n08282542
graduate school;n08282696
grad school;n08282696
language school;n08282950
law school;n08283051
school of law;n08283051
madrasa;n08283180
madrasah;n08283180
medical school;n08283507
school of medicine;n08283507
music school;n08283649
school of music;n08283649
nursing school;n08283757
school of nursing;n08283757
pesantran;n08283866
pesantren;n08283866
religious school;n08284054
church school;n08284221
parochial school;n08284221
riding school;n08284370
secondary school;n08284481
lyceum;n08284481
lycee;n08284481
gymnasium;n08284481
middle school;n08284481
secretarial school;n08284847
seminary;n08284994
seminary;n08285109
technical school;n08285246
tech;n08285246
polytechnic institute;n08285407
polytechnic;n08285407
engineering school;n08285407
trade school;n08285594
vocational school;n08285594
trainband;n08285719
training college;n08285896
training school;n08286039
university;n08286163
gown;n08286342
university;n08286569
multiversity;n08286801
open university;n08286946
varsity;n08287182
veterinary school;n08287335
conservatory;n08287436
staff;n08287586
faculty;n08287586
culture;n08287844
civilization;n08287844
civilisation;n08287844
open society;n08288189
tribal society;n08288390
hunting and gathering tribe;n08288518
hunting and gathering society;n08288518
subculture;n08288753
suburbia;n08288977
youth culture;n08289089
hip-hop;n08289282
youth subculture;n08289449
flower people;n08289841
hippies;n08289841
hipsters;n08289841
aegean civilization;n08290156
aegean civilisation;n08290156
aegean culture;n08290156
helladic civilization;n08290435
helladic civilisation;n08290435
helladic culture;n08290435
indus civilization;n08290616
minoan civilization;n08290763
minoan civilisation;n08290763
minoan culture;n08290763
cycladic civilization;n08290928
cycladic civilisation;n08290928
cycladic culture;n08290928
cyclades;n08290928
mycenaean civilization;n08291157
mycenaean civilisation;n08291157
mycenaean culture;n08291157
paleo-american culture;n08291338
paleo-amerind culture;n08291338
paleo-indian culture;n08291338
clovis culture;n08291582
folsom culture;n08291813
western culture;n08292051
western civilization;n08292051
psychedelia;n08292298
rastafari;n08292418
rastas;n08292418
fleet;n08292756
armada;n08293003
spanish armada;n08293088
invincible armada;n08293088
battle fleet;n08293238
fleet;n08293336
fleet;n08293490
motor pool;n08293684
fleet;n08293831
alliance;n08293982
coalition;n08293982
alignment;n08293982
alinement;n08293982
nonalignment;n08294395
nonalinement;n08294395
popular front;n08294581
world organization;n08294696
world organisation;n08294696
international organization;n08294696
international organisation;n08294696
global organization;n08294696
commonwealth of independent states;n08295138
cis;n08295138
united nations;n08295580
un;n08295580
deliberative assembly;n08295894
general assembly;n08296059
united nations secretariat;n08296196
security council;n08296332
sc;n08296332
trusteeship council;n08296500
tc;n08296500
economic and social council;n08296720
ecosoc;n08296720
economic and social council commission;n08296911
ecosoc commission;n08296911
commission on human rights;n08297284
commission on narcotic drugs;n08297464
commission on the status of women;n08297646
economic commission for africa;n08297863
economic commission for asia and the far east;n08298074
economic commission for europe;n08298319
economic commission for latin america;n08298521
population commission;n08298737
social development commission;n08298918
statistical commission;n08299107
international court of justice;n08299307
world court;n08299307
united nations agency;n08299493
un agency;n08299493
united nations children's fund;n08299911
united nations international children's emergency fund;n08299911
unicef;n08299911
food and agriculture organization;n08300190
food and agriculture organization of the united nations;n08300190
fao;n08300190
general agreement on tariffs and trade;n08300429
gatt;n08300429
international atomic energy agency;n08300641
iaea;n08300641
international bank for reconstruction and development;n08300783
world bank;n08300783
ibrd;n08300783
international civil aviation organization;n08301005
icao;n08301005
international development association;n08301155
ida;n08301155
international finance corporation;n08301307
ifc;n08301307
international labor organization;n08301525
international labour organization;n08301525
ilo;n08301525
international maritime organization;n08301709
imo;n08301709
international monetary fund;n08301871
imf;n08301871
united nations educational scientific and cultural organization;n08302052
unesco;n08302052
united nations office for drug control and crime prevention;n08302257
dccp;n08302257
united nations crime prevention and criminal justice;n08302468
centre for international crime prevention;n08302468
world health organization;n08302724
who;n08302724
world meteorological organization;n08302919
wmo;n08302919
sterling area;n08303097
sterling bloc;n08303097
scheduled territories;n08303097
confederation;n08303275
confederacy;n08303275
federation;n08303275
federation;n08303504
nation;n08303692
creek confederacy;n08303862
hanseatic league;n08304135
enosis;n08304744
union;n08304895
league;n08305114
iroquois league;n08305277
league of iroquois;n08305277
five nations;n08305277
six nations;n08305277
customs union;n08305568
benelux;n08305766
ally;n08305942
caste;n08306047
caste;n08306194
jati;n08306371
varna;n08306665
brahman;n08306959
brahmin;n08306959
rajanya;n08307145
vaisya;n08307267
sudra;n08307440
shudra;n08307440
meeting;n08307589
group meeting;n08307589
board meeting;n08308039
committee meeting;n08308039
camp meeting;n08308156
caucus;n08308313
conclave;n08308410
conference;n08308497
congress;n08308800
congress of racial equality;n08308922
core;n08308922
convention;n08309086
constitutional convention;n08309226
council;n08309409
encounter group;n08309611
forum;n08309754
plenum;n08309854
psychotherapy group;n08310034
stockholders meeting;n08310168
covey;n08310309
meeting;n08310389
get together;n08310389
north atlantic council;n08310722
nac;n08310722
council;n08310949
city council;n08311282
executive council;n08311409
panchayat;n08311522
panchayet;n08311522
punchayet;n08311522
privy council;n08311687
divan;n08311848
diwan;n08311848
works council;n08311933
town meeting;n08312241
summit;n08312359
summit meeting;n08312359
town meeting;n08312462
council;n08312559
ecumenical council;n08312988
nicaea;n08313592
first council of nicaea;n08313592
constantinople;n08313790
first council of constantinople;n08313790
ephesus;n08313983
council of ephesus;n08313983
chalcedon;n08314153
council of chalcedon;n08314153
constantinople;n08314327
second council of constantinople;n08314327
constantinople;n08314501
third council of constantinople;n08314501
nicaea;n08314715
second council of nicaea;n08314715
constantinople;n08314901
fourth council of constantinople;n08314901
lateran council;n08315194
first lateran council;n08315442
second lateran council;n08315682
third lateran council;n08315860
fourth lateran council;n08316019
lyons;n08316346
first council of lyons;n08316346
lyons;n08316564
second council of lyons;n08316564
vienne;n08316748
council of vienne;n08316748
constance;n08316965
council of constance;n08316965
council of basel-ferrara-florence;n08317139
fifth lateran council;n08317340
council of trent;n08317529
vatican council;n08317885
first vatican council;n08318032
vatican i;n08318032
second vatican council;n08318216
vatican ii;n08318216
continental congress;n08318423
congress;n08318691
diet;n08318777
chamber;n08318904
chamber of commerce;n08319061
parliament;n08319198
british parliament;n08319408
dail eireann;n08319539
dail;n08319539
knesset;n08319679
knesseth;n08319679
oireachtas;n08319777
seanad eireann;n08319908
seanad;n08319908
duma;n08320052
soviet;n08320201
palestine liberation organization;n08320385
plo;n08320385
palestine national authority;n08320923
palestinian national authority;n08320923
palestine authority;n08320923
sinn fein;n08321218
red guard;n08321469
syndicalism;n08321621
indaba;n08321807
jirga;n08321956
loya jirga;n08322187
powwow;n08322430
synod;n08322520
world council;n08322625
blue ribbon commission;n08322756
blue ribbon committee;n08322756
board;n08322981
appeal board;n08323301
appeals board;n08323301
board of appeals;n08323301
board of selectmen;n08323471
board of regents;n08323658
board of trustees;n08323825
federal reserve board;n08323980
governing board;n08324107
secretariat;n08324274
secretariate;n08324274
committee;n08324514
commission;n08324514
election commission;n08325124
fairness commission;n08325237
planning commission;n08325386
conservancy;n08325530
committee;n08325686
citizens committee;n08325686
select committee;n08325851
subcommittee;n08325993
vigilance committee;n08326114
welcoming committee;n08326266
standing committee;n08326383
ways and means committee;n08326487
steering committee;n08326706
ethics committee;n08326850
ethics panel;n08326850
finance committee;n08326976
politburo;n08327090
political action committee;n08327212
pac;n08327212
presidium;n08327390
praesidium;n08327390
symposium;n08327616
seminar;n08327816
colloquium;n08327906
potsdam conference;n08328088
yalta conference;n08328327
research colloquium;n08328563
bench;n08328700
border patrol;n08328876
harbor patrol;n08329010
patrol;n08329113
court;n08329322
royal court;n08329322
court;n08329453
tribunal;n08329453
judicature;n08329453
appellate court;n08330106
appeals court;n08330106
court of appeals;n08330106
circuit court of appeals;n08330298
circuit;n08330514
assizes;n08330843
court of assize;n08330843
court of assize and nisi prius;n08330843
chancery;n08331011
court of chancery;n08331011
consistory;n08331121
criminal court;n08331213
drumhead court-martial;n08331357
court-martial;n08331525
special court-martial;n08331762
divorce court;n08331960
family court;n08332090
domestic relations court;n08332090
court of domestic relations;n08332090
federal court;n08332330
foreign intelligence surveillance court;n08332485
f.i.s.c.;n08332485
inferior court;n08332896
lower court;n08332896
inquisition;n08333030
spanish inquisition;n08333224
roman inquisition;n08333639
congregation of the inquisition;n08333639
juvenile court;n08333868
kangaroo court;n08333995
military court;n08334087
moot court;n08334319
night court;n08334451
old bailey;n08334581
provost court;n08334693
police court;n08334873
probate court;n08335087
quarter sessions;n08335253
rota;n08335414
star chamber;n08335599
superior court;n08335751
supreme court;n08335886
supreme court of the united states;n08335886
united states supreme court;n08335886
supreme court;n08336188
state supreme court;n08336188
high court;n08336188
traffic court;n08336355
trial court;n08336490
repertoire;n08336627
repertory;n08336627
repertory;n08336844
repertoire;n08336844
representation;n08337108
agency;n08337324
federal agency;n08337324
government agency;n08337324
bureau;n08337324
office;n08337324
authority;n08337324
independent agency;n08338847
intelligence;n08339454
intelligence service;n08339454
intelligence agency;n08339454
military intelligence;n08339706
military intelligence agency;n08339706
united states intelligence agency;n08339939
intelligence community;n08340153
national intelligence community;n08340153
united states intelligence community;n08340153
ic;n08340153
advanced research and development activity;n08340753
arda;n08340753
defense intelligence agency;n08340989
dia;n08340989
